File,File_gb,Title,Genre,TMDB ID,Year,Length,TMDB Link,Description,Rating,Toloka Link,Rutracker Link,Poster,Trailer
G:/Movies\UKR\Передчуття (2019).mkv,2.91,Forebodings,['Drama'],687603,2019,90,https://www.themoviedb.org/movie/687603,"Slow life in a small seaside town N is suddenly disturbed by a local scandal around a man who has recently passed away. Only his wife and his friend know where he was buried, and they refuse to tell the others, seemingly in accordance to his last will. Each character seeks answers to the questions of their own, but they are searching on the outside, inquiring society and each other, so their efforts are futile. Something is about to happen.",5.7,https://toloka.to/tracker.php?nm=Forebodings,https://rutracker.org/forum/tracker.php?nm=Forebodings,https://image.tmdb.org/t/p/w200/eTQEGOCHWr8EreqVq69dCIzuJ9Z.jpg,N/A
G:/Movies\UKR\Свінгери 2 (2019).mkv,1.45,Swingers 2,['Comedy'],567976,2019,90,https://www.themoviedb.org/movie/567976,"Meet the crazy continuation of the erotic comedy ""Swingers 2"" directed by Andrei Ekis. The film is a continuation of 2018 movie, in which the main roles went to the stars Oli Polyakova, Dasha Astafieva and Mikhail Kukuyuk. Married couples in whom passion in an intimate life has long faded away, decided to take desperate steps and exchanged partners. After the events of the first part, time passed. And now Igor has a new problem: he has lost male power. The wife is trying by any means to regain her happiness. What came out of this?",3.8,https://toloka.to/tracker.php?nm=Swingers 2,https://rutracker.org/forum/tracker.php?nm=Swingers 2,https://image.tmdb.org/t/p/w200/oKtXh7EmaQnEeK8D2ZdzGjZ1wWq.jpg,https://www.youtube.com/watch?v=bwVXy2WevBA
Abe (2019).mkv,3.07,Abe,"['Drama', 'Comedy']",484297,2019,85,https://www.themoviedb.org/movie/484297,A 12-year-old boy from Brooklyn tries to unite his half-Israeli and half-Palestinian family through cooking.,7.0,https://toloka.to/tracker.php?nm=Abe,https://rutracker.org/forum/tracker.php?nm=Abe,https://image.tmdb.org/t/p/w200/76p3jexoFjSxTiChHbyDh0FwAun.jpg,https://www.youtube.com/watch?v=8OeVJO_CCxY
Hors Normes (2019).mkv,2.07,The Specials,"['Comedy', 'Drama']",579245,2019,114,https://www.themoviedb.org/movie/579245,"For twenty years, Bruno and Malik have lived in a different world—the world of autistic children and teens. In charge of two separate nonprofit organizations (The Hatch & The Shelter), they train young people from underprivileged areas to be caregivers for extreme cases that have been refused by all other institutions. It’s an exceptional partnership, outside of traditional settings, for some quite extraordinary characters.",7.8,https://toloka.to/tracker.php?nm=The Specials,https://rutracker.org/forum/tracker.php?nm=The Specials,https://image.tmdb.org/t/p/w200/zJziqrnSOzKiV0TrNVZ3AS0NMKI.jpg,https://www.youtube.com/watch?v=gRLC6syOqDE
Midsommar (2019).mkv,6.41,Midsommar,"['Horror', 'Drama', 'Mystery']",530385,2019,147,https://www.themoviedb.org/movie/530385,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",7.164,https://toloka.to/tracker.php?nm=Midsommar,https://rutracker.org/forum/tracker.php?nm=Midsommar,https://image.tmdb.org/t/p/w200/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg,https://www.youtube.com/watch?v=1Vnghdsjmd0
G:/Movies\2020\A Nice Girl Like You (2020).mkv,10.4,A Nice Girl Like You,"['Comedy', 'Romance']",718840,2020,94,https://www.themoviedb.org/movie/718840,"Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love.",5.709,https://toloka.to/tracker.php?nm=A Nice Girl Like You,https://rutracker.org/forum/tracker.php?nm=A Nice Girl Like You,https://image.tmdb.org/t/p/w200/qVFfofTQCaoru8oiaOGW0G4YSwQ.jpg,https://www.youtube.com/watch?v=-Wjjo30JJck
G:/Movies\2020\Arkansas (2020).mkv,2.67,Arkansas,"['Crime', 'Thriller']",560204,2020,117,https://www.themoviedb.org/movie/560204,"Kyle and Swin live by the orders of an Arkansas-based drug kingpin named Frog, whom they've never met. But when a deal goes horribly wrong, the consequences are deadly.",5.8,https://toloka.to/tracker.php?nm=Arkansas,https://rutracker.org/forum/tracker.php?nm=Arkansas,https://image.tmdb.org/t/p/w200/ieNGttYsxunAANK9LRZa4LdkEqi.jpg,https://www.youtube.com/watch?v=2oDRSS67Ohw
G:/Movies\2020\Ava (2020).mkv,7.52,Ava,['Drama'],453354,2020,106,https://www.themoviedb.org/movie/453354,"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",6.357,https://toloka.to/tracker.php?nm=Ava,https://rutracker.org/forum/tracker.php?nm=Ava,https://image.tmdb.org/t/p/w200/5MTsowSLS4ryluc2Nahj8ZzGi0F.jpg,https://www.youtube.com/watch?v=ZF2XRVr2o2c
G:/Movies\2020\Capone (2020).mkv,8.12,Capone,"['Crime', 'Drama']",429422,2020,103,https://www.themoviedb.org/movie/429422,"The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",5.0,https://toloka.to/tracker.php?nm=Capone,https://rutracker.org/forum/tracker.php?nm=Capone,https://image.tmdb.org/t/p/w200/75gDv38UgRtAukSxNXcjatyQmEa.jpg,https://www.youtube.com/watch?v=LHYlKQSc7rA
G:/Movies\2020\Concrete Cowboy (2020).mkv,6.38,Concrete Cowboy,"['Drama', 'Western']",621954,2020,111,https://www.themoviedb.org/movie/621954,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",6.099,https://toloka.to/tracker.php?nm=Concrete Cowboy,https://rutracker.org/forum/tracker.php?nm=Concrete Cowboy,https://image.tmdb.org/t/p/w200/qRW2poVt06WCVlIhrolWS5af4YV.jpg,https://www.youtube.com/watch?v=WZ3dgHqaw8U
